id,cohort,freq,level,mag,phase
WT-2,WT (mixed C57BL/6:FVB),9,70,3.13354811044284,-29.591007814101623
WT-2,WT (mixed C57BL/6:FVB),9,80,4.61012559222783,-30.734022363341
WT-2,WT (mixed C57BL/6:FVB),9.5,10,NA,NA
WT-2,WT (mixed C57BL/6:FVB),9.5,20,1.04168595575344,-27.08132410476119
WT-2,WT (mixed C57BL/6:FVB),9.5,30,1.67900816023398,-26.97816666251161
WT-2,WT (mixed C57BL/6:FVB),9.5,40,2.04683276874893,-26.68183762312595
WT-2,WT (mixed C57BL/6:FVB),9.5,50,1.92112055730246,-26.356674261543816
WT-2,WT (mixed C57BL/6:FVB),9.5,60,1.56480892584331,-26.79159448104827
WT-2,WT (mixed C57BL/6:FVB),9.5,70,2.57063614722248,-27.374908479125267
WT-2,WT (mixed C57BL/6:FVB),9.5,80,1.66291801734778,-28.389211176292612
WT-2,WT (mixed C57BL/6:FVB),10,10,NA,NA
WT-2,WT (mixed C57BL/6:FVB),10,20,NA,NA
WT-2,WT (mixed C57BL/6:FVB),10,30,0.80634404394844,-30.5858641915478
WT-2,WT (mixed C57BL/6:FVB),10,40,1.36369622569684,-30.708254670930852
WT-2,WT (mixed C57BL/6:FVB),10,50,1.75255146779074,-30.002190578517983
WT-2,WT (mixed C57BL/6:FVB),10,60,1.90973959243439,-29.702405763340707
WT-2,WT (mixed C57BL/6:FVB),10,70,2.14972821227295,-30.323813099478993
WT-2,WT (mixed C57BL/6:FVB),10,80,2.1815284092512,-31.937125412932524
WT-2,WT (mixed C57BL/6:FVB),10.5,10,NA,NA
WT-2,WT (mixed C57BL/6:FVB),10.5,20,NA,NA
WT-2,WT (mixed C57BL/6:FVB),10.5,30,NA,NA
WT-2,WT (mixed C57BL/6:FVB),10.5,40,NA,NA
WT-2,WT (mixed C57BL/6:FVB),10.5,50,0.889047268051742,-32.03287485056767
WT-2,WT (mixed C57BL/6:FVB),10.5,60,1.22224709136878,-31.77051031817192
WT-2,WT (mixed C57BL/6:FVB),10.5,70,1.47245686174652,-32.42045475682437
